iter	RMSE
0	0.5630113272
1	0.5017081595
2	0.4776380026
3	0.4654205731
4	0.4595314754
5	0.4541475451
6	0.4501095924
7	0.4472206718
8	0.4450476422
9	0.4435013294
10	0.441827756
11	0.4399381344
12	0.4385204872
13	0.4371733818
14	0.436605659
15	0.4352019944
16	0.434544465
17	0.4337613989
18	0.432885588
19	0.432122732
20	0.4312560773
21	0.4308411324
22	0.429840545
23	0.4293537793
24	0.4288027195
25	0.4280690815
26	0.4270311927
27	0.4263114047
28	0.4259186411
29	0.4254350793
30	0.4248225416
31	0.4243608397
32	0.4238385118
33	0.4229634164
34	0.4225887339
35	0.4222877999
36	0.4218142981
37	0.4212775049
38	0.4206967634
39	0.4205814345
40	0.420260472
41	0.4199913526
42	0.4194332453
43	0.4190470362
44	0.4185763133
45	0.4182322028
46	0.418061807
47	0.4178107784
48	0.4177924737
49	0.4176492143
50	0.4172831066
51	0.4169640414
52	0.4166614748
53	0.4163437395
54	0.4161116721
55	0.4158768492
56	0.4154675512
57	0.4152343114
58	0.4149088982
59	0.4144015579
60	0.4140611485
61	0.4137364758
62	0.4135753268
63	0.4132800264
64	0.4131828925
65	0.4128898894
66	0.4126445832
67	0.4124702059
68	0.4122230019
69	0.4122120225
70	0.4120732699
71	0.4118972612
72	0.4116298292
73	0.4114255215
74	0.4112629253
75	0.4110124516
76	0.4107188979
77	0.4102144432
78	0.4100002444
79	0.4096293854
80	0.40956509
81	0.4095588233
82	0.409186556
83	0.4090382885
84	0.4086437634
85	0.4085103156
86	0.4083166583
87	0.4081800481
88	0.4078952273
89	0.4075281249
90	0.407177894
91	0.4070237211
92	0.406803503
93	0.4065755698
94	0.4065715771
95	0.4063045066
96	0.4061344707
97	0.4059652206
98	0.4058343467
99	0.4056919462
