iter	Passed	Remaining
0	6	666
1	12	632
2	18	593
3	25	610
4	30	583
5	36	566
6	42	565
7	47	550
8	53	543
9	59	531
10	64	523
11	70	519
12	76	510
13	81	500
14	87	493
15	93	488
16	98	481
17	104	476
18	109	467
19	114	459
20	120	455
21	126	448
22	132	442
23	139	440
24	145	436
25	152	433
26	158	428
27	164	421
28	170	418
29	176	411
30	181	404
31	188	399
32	193	392
33	199	386
34	205	381
35	210	374
36	216	369
37	222	362
38	228	357
39	234	351
40	239	345
41	245	338
42	251	333
43	256	326
44	262	320
45	268	314
46	273	308
47	278	302
48	284	295
49	289	289
50	294	283
51	301	277
52	306	271
53	311	265
54	317	259
55	323	253
56	328	247
57	334	242
58	340	236
59	346	231
60	352	225
61	357	219
62	363	213
63	368	207
64	373	201
65	380	195
66	386	190
67	391	184
68	398	179
69	403	172
70	408	166
71	414	161
72	419	155
73	425	149
74	431	143
75	436	137
76	441	131
77	448	126
78	453	120
79	459	114
80	465	109
81	470	103
82	475	97
83	481	91
84	487	85
85	493	80
86	498	74
87	503	68
88	510	63
89	516	57
90	521	51
91	527	45
92	533	40
93	538	34
94	544	28
95	549	22
96	554	17
97	560	11
98	566	5
99	572	0
